,T_amb,t_des=1,t_des=12,t_des=24
26373,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26374,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26375,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26376,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26377,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26378,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26379,5.0,309.09292858462186,317.35427143920936,334.5065012132914
26380,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26381,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26382,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26383,5.0,309.09292858462186,317.35427143920936,334.5065012132914
26384,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26385,4.4,313.75591239378235,321.99341375234474,339.09701164188306
26386,4.9,309.87013367202127,318.1279838368315,335.27288230480775
26387,5.3,306.7612386903704,315.0319237104521,332.20428655838964
26388,5.2,307.53847756348836,315.80624099484453,332.9722008204956
26389,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26390,4.8,310.6473246404617,318.90149024647627,336.03874738011325
26391,5.8,302.8749570594645,311.1574127291049,328.3571593043028
26392,8.1,285.00111983935443,293.2785680237249,310.5058791479469
26393,8.8,279.56417131110305,287.82147796435737,305.02548808941015
26394,8.9,278.78763865729024,287.0413826546662,304.2408710315944
26395,9.1,277.2347200012705,285.4808286480088,302.6703974338709
26396,8.9,278.78763865729024,287.0413826546662,304.2408710315944
26397,9.2,276.45833666262615,284.70037489315996,301.88453566574447
26398,10.1,269.4734544691056,277.67136074485796,294.79361525109226
26399,10.0,270.24930667365754,278.4527745819028,295.583079256143
26400,9.5,274.1295105754036,282.35832776705655,299.5244978133249
26401,8.9,278.78763865729024,287.0413826546662,304.2408710315944
26402,8.5,281.8940438395036,290.16101588678816,307.37680103875545
26403,8.3,283.44750568244126,291.7200582637358,308.9422064753166
26404,8.0,285.7779834471057,294.0576164961759,311.2870594412696
26405,7.8,287.331812610762,295.61529008350516,312.84809546128895
26406,7.4,290.4398354440962,298.72888459378476,315.96479444602494
26407,7.3,291.216908038221,299.5069057540955,316.7428382880265
26408,7.6,288.8857674130756,297.172385084022,314.40734882643557
26409,8.8,279.56417131110305,287.82147796435737,305.02548808941015
26410,10.3,267.92195101815264,276.1082466736398,293.2135274920101
26411,11.2,260.94379753817043,269.06992170975104,286.0845073419802
26412,11.4,259.39397035678985,267.50498856739614,284.4962650544434
26413,11.5,258.6191847644441,266.7224166605041,283.70161189966075
26414,10.3,267.92195101815264,276.1082466736398,293.2135274920101
26415,9.3,275.68200639434286,283.91980602568816,301.0982634444577
26416,8.9,278.78763865729024,287.0413826546662,304.2408710315944
26417,8.9,278.78763865729024,287.0413826546662,304.2408710315944
26418,8.4,282.67075443183603,290.94060120836036,308.1597190983958
26419,8.4,282.67075443183603,290.94060120836036,308.1597190983958
26420,8.8,279.56417131110305,287.82147796435737,305.02548808941015
26421,8.3,283.44750568244126,291.7200582637358,308.9422064753166
26422,8.5,281.8940438395036,290.16101588678816,307.37680103875545
26423,7.7,288.10877508326655,296.39391096116344,313.6279462163908
26424,7.5,289.6627880470368,297.9507103314329,315.18629500143646
26425,7.2,291.99400427382756,300.28477170053725,317.52042406175826
26426,6.9,294.32541925214525,302.61741708878486,319.85040847021793
26427,6.7,295.87978548296076,304.17169915559344,321.40139617605945
26428,7.4,290.4398354440962,298.72888459378476,315.96479444602494
26429,6.7,295.87978548296076,304.17169915559344,321.40139617605945
26430,6.6,296.65699077044263,304.94858939068865,322.1761821512955
26431,6.7,295.87978548296076,304.17169915559344,321.40139617605945
26432,6.7,295.87978548296076,304.17169915559344,321.40139617605945
26433,7.4,290.4398354440962,298.72888459378476,315.96479444602494
26434,7.6,288.8857674130756,297.172385084022,314.40734882643557
26435,8.4,282.67075443183603,290.94060120836036,308.1597190983958
26436,9.1,277.2347200012705,285.4808286480088,302.6703974338709
26437,9.6,273.35334805590685,281.57742627719466,298.73700950419243
26438,9.6,273.35334805590685,281.57742627719466,298.73700950419243
26439,8.7,280.34075074397185,288.6014502974361,305.80968296536776
26440,6.9,294.32541925214525,302.61741708878486,319.85040847021793
26441,6.2,299.76592303102217,308.05442893939323,325.2705485212585
26442,5.1,308.31570688576966,316.58035517497746,333.7396066082468
26443,4.4,313.75591239378235,321.99341375234474,339.09701164188306
26444,4.0,316.86414014359286,325.081872422286,342.14683702513236
26445,3.0,324.63245078285223,332.7869700361002,349.7335354914284
26446,2.4,329.291360910523,337.3983519779692,354.2588727440668
26447,2.9,325.4090591397721,333.5561608746647,350.48917177468167
26448,2.9,325.4090591397721,333.5561608746647,350.48917177468167
26449,2.6,327.7385948734233,335.8622370393186,352.7526934603677
26450,2.1,331.62008983798995,339.70057888053066,356.51384431419245
