 -100 19.829 19.25 18.83 18.309 18.045 17.817 17.617 17.384 17.232
 -200 19.829 19.25 18.83 18.309 18.045 17.817 17.617 17.384 17.232
 -300 19.829 19.25 18.83 18.309 18.045 17.817 17.617 17.384 17.232
 -400 19.829 19.25 18.83 18.309 18.045 17.817 17.617 17.384 17.232
 -500 19.829 19.25 18.83 18.309 18.045 17.817 17.617 17.384 17.232
 -600 19.829 19.25 18.83 18.309 18.045 17.817 17.617 17.384 17.232
 -700 19.829 19.25 18.83 18.31 18.045 17.817 17.617 17.384 17.232
 -800 19.829 19.25 18.83 18.31 18.045 17.817 17.617 17.384 17.232
 -900 19.829 19.25 18.83 18.31 18.046 17.818 17.617 17.384 17.232
 -1000 19.829 19.25 18.83 18.31 18.046 17.818 17.617 17.384 17.232
 -1100 19.829 19.25 18.83 18.31 18.046 17.818 17.617 17.384 17.232
 -1200 19.829 19.25 18.83 18.31 18.046 17.818 17.617 17.384 17.232
 -1300 19.829 19.25 18.83 18.31 18.046 17.818 17.617 17.384 17.232
 -1400 19.829 19.25 18.83 18.31 18.046 17.818 17.617 17.384 17.232
 -1500 19.829 19.25 18.831 18.31 18.046 17.818 17.617 17.384 17.233
 -1600 19.829 19.25 18.831 18.31 18.046 17.818 17.617 17.384 17.233
 -1700 19.829 19.25 18.831 18.31 18.046 17.818 17.617 17.384 17.233
-1825.142 19.829 19.250 18.831 18.310 18.046 17.818 17.617 17.384 17.233 
