IFPEN,,IFE,
X,Y,X,Y
44.872830787433486,119.50561507409758,95.57079028275257,131.0989459107359
44.872830787433486,118.56097330222335,95.57079028275257,130.15430413886165
95.57079028275257,117.55908051387189,95.57079028275257,129.20966236698743
95.57079028275257,116.61443874199765,70.22181053509121,128.11473667686047
95.57079028275257,115.66979697012341,146.26874977807165,127.32037882323895
95.57079028275257,114.72515519824918,196.96670927339073,126.20398400193304
95.57079028275257,113.78051342637495,196.96670927339073,125.2593422300588
95.57079028275257,112.83587165450072,217.24589307151837,124.06565853650865
95.57079028275257,111.89122988262649,273.0136485163712,123.04802171862595
95.57079028275257,110.94658811075226,374.40956750700934,121.59885536404616
95.57079028275257,110.00194633887803,501.15446624530887,120.50178276080132
95.57079028275257,109.0573045670038,541.7128338415641,119.16210897523422
95.57079028275257,108.11266279512955,724.2254880247128,117.88254875696822
95.57079028275257,107.16802102325533,856.0401827125461,116.88638107026448
95.57079028275257,106.22337925138109,1068.9716125928862,115.57247024211213
70.22181053509121,105.13203174978398,1363.0197776657405,114.28861619761034
146.26874977807165,104.30547019939402,1717.9054941329778,113.01478108099205
146.26874977807165,103.36082842751978,2089.6905304319844,111.90554263674579
196.96670927339073,102.35893563916832,2579.7708055534094,110.97163543046105
171.617729525733,101.23538444080276,3021.5673097269064,109.94878468072059
273.0136485163712,100.2585389721601,3745.8238739457593,108.8569260093335
365.959907591121,99.15287871644367,4506.293266375549,107.84250956112766
399.7585472546707,98.1509859280922,5368.158577795981,106.88653685890895
551.852425740628,96.86999443441425,6382.117767702373,105.96835199616436
754.6442637219079,95.28843510423089,7497.4728765994005,105.15252501136388
856.0401827125461,94.29012050440926,8612.827985496431,104.48112672722186
1150.0883477854004,93.0814084190338,9728.183094393462,103.84095627024925
1373.1593695648044,91.99077655514266,10843.538203290489,103.20859277006898
1717.9054941329778,91.0031965209105,11958.89331218752,102.72456144894333
2103.2099862974064,89.97267822432043,13074.24842108455,102.2561440414024
2630.4687650487285,88.92498462278719,14189.603529981578,101.86189272338876
3188.146319497242,87.96746137220558,15304.958638878605,101.4754483621675
3847.2197929363974,87.01975258159149,16420.31374777564,101.13194226330414
4658.38714486151,86.0662505333577,17535.668856672666,100.81966399161018
5621.64837527258,85.16788666646923,18651.023965569693,100.52690311189708
6686.3055246742915,84.31966081098051,19766.379074466728,100.24194918897635
7801.660633571319,83.57799991570734,20881.734183363755,99.96480222284795
8917.01574246835,82.95344337231941,21997.08929226078,99.71888308388895
10032.370851365376,82.38743900487411,23112.444401157816,99.48857785851467
11147.725960262407,81.89169724855995,24227.799510054843,99.2543691547442
12263.081069159438,81.423279841019,25343.15461895187,99.03577436455842
13378.436178056465,81.00170417423216,26458.509727848897,98.81327609597648
14493.791286953492,80.63477720499176,27573.864836745932,98.6102952193754
15609.146395850526,80.29907806292076,28689.21994564296,98.40341086437815
16724.501504747554,79.97118587764209,29804.575054539986,98.21994737975794
17839.85661364458,79.67061804113665,30919.93016343702,98.04038737353392
18955.211722541615,79.39737455340443,32035.285272334047,97.85692388891371
20070.566831438642,79.1280345440684,33150.640381231075,97.69688127467057
21185.92194033567,78.88601888350559,34265.99549012811,97.5368386604274
22301.277049232704,78.64790670133894,35381.350599025136,97.38069952458042
23416.63215812973,78.42540843275698,36496.70570792216,97.22846386712962
24531.987267026758,78.23804146974061,37612.0608168192,97.09184212326352
25647.342375923792,78.0545779851204,38727.415925716225,96.93960646581272
26762.69748482082,77.8711145005002,39842.77103461325,96.81079167873895
27878.052593717846,77.69155449427618,40958.126143510286,96.68588037006137
28993.407702614873,77.50028405286362,42073.48125240731,96.5570655829876
30108.762811511908,77.32853100343195,43188.83636130434,96.4360577527062
31224.117920408935,77.15677795400026,44304.19147020137,96.32285687921713
32339.473029305962,77.0123492533418,45419.5465790984,96.19404209214338
33454.828138202996,76.84840316070247,46534.90168799543,96.1003586106352
34570.18324710002,76.71568489523254,47650.256796892456,95.98325425874995
35685.53835599705,76.56735271617791,48765.61190578948,95.88176382044941
36800.893464894085,76.4307309723118,49880.967014686525,95.77246642535653
37916.24857379111,76.29020575004952,50996.32212358355,95.67097598705598
39031.60368268814,76.17700487656046,52111.67723248058,95.57338902715162
40146.95879158517,76.05599704627905,53227.032341377606,95.48360902403961
41262.3139004822,75.92327878080911,54342.38745027463,95.38602206413525
42377.66900937923,75.82569182090475,55457.74255917166,95.29624206102324
43493.024118276255,75.70468399062335,56573.09766806869,95.20646205791121
44608.37922717329,75.60319355232281,57688.45277696573,95.11668205479921
45723.73433607032,75.4821857220414,58803.807885862756,95.03861248687572
46839.08944496735,75.37679180534468,59919.16299475978,94.94492900536753
47954.44455386438,75.27530136704415,61034.51810365681,94.87856987263257
49069.799662761405,75.18552136393212,62149.87321255384,94.79269334791672
50185.15477165843,75.07232049044308,63265.228321450864,94.7029133448047
51300.50988055546,74.98254048733105,64380.583430347906,94.64045769046592
52415.864989452486,74.91227787619992,65495.93853924493,94.55458116575008
53531.22009834953,74.80298048110704,66611.29364814196,94.48431855461894
54646.575207246555,74.71320047799502,67726.64875703899,94.3984420299031
55761.93031614358,74.64684134526006,68842.00386593601,94.33208289716814
56877.28542504061,74.54535090695951,69957.35897483304,94.261820286037
57992.640533937636,74.46337786063985,71072.71408373007,94.19155767490585
59107.99564283466,74.38530829271636,72188.06919262711,94.10958462858619
60223.350751731705,74.31114220318905,73303.42430152414,94.03932201745505
61338.70586062873,74.23697611366173,74418.77941042116,93.98857679830478
62454.06096952576,74.14329263215353,75534.13451931819,93.9066037519851
63569.416078422786,74.0730300210224,76649.48962821522,93.84414809764631
64684.77118731981,74.00276740989126,77764.84473711225,93.76607852972282
65800.12629621684,73.94421523394864,78880.19984600929,93.73094722415726
66915.48140511388,73.85053175244045,79995.55495490631,93.64116722104524
68030.83651401091,73.795883054894,81110.91006380334,93.5865185234988
69146.19162290794,73.73342740055521,82226.26517270037,93.51235243397149
70261.54673180496,73.6748752246126,83341.6202815974,93.46160721482121
71376.90184070199,73.59290217829293,84456.97539049442,93.39524808208625
72492.25694959902,73.53435000235031,85572.33049939145,93.33669590614363
73607.61205849604,73.4757978264077,86687.68560828849,93.28985416538953
74722.96716739309,73.42114912886126,87498.8529602136,93.22739851105075
