IFPEN,,IFE,
X,Y,X,Y
184.15059679577462,1.171261901369411,184.15059679577462,1.7285606799425524
163.8592637870388,1.151547199442077,163.8592637870388,1.708935590296706
163.8592637870388,1.1367611729965763,163.8592637870388,1.6941495638512054
163.8592637870388,1.1219751465510757,163.8592637870388,1.6795875681094246
163.8592637870388,1.1071891201055752,113.13093126520471,1.6652496030713633
163.8592637870388,1.0932992164749533,113.13093126520471,1.6504635766258628
113.13093126520471,1.0818736505852482,113.13093126520471,1.6356775501803622
113.13093126520471,1.0670876241397478,113.13093126520471,1.6208915237348616
113.13093126520471,1.052301597694247,113.13093126520471,1.606105497289361
113.13093126520471,1.0375155712487465,113.13093126520471,1.5913194708438603
113.13093126520471,1.0227295448032458,113.13093126520471,1.5765334443983596
113.13093126520471,1.0079435183577452,113.13093126520471,1.561747417952859
113.13093126520471,0.9931574919122446,113.13093126520471,1.5469613915073586
113.13093126520471,0.9783714654667439,113.13093126520471,1.532175365061858
113.13093126520471,0.9635854390212434,113.13093126520471,1.5173893386163573
113.13093126520471,0.9487994125757427,113.13093126520471,1.5026033121708566
113.13093126520471,0.9340133861302421,113.13093126520471,1.487817285725356
113.13093126520471,0.9192273596847416,113.13093126520471,1.4730312592798553
113.13093126520471,0.9044413332392409,113.13093126520471,1.4582452328343547
113.13093126520471,0.8896553067937403,113.13093126520471,1.4434592063888543
113.13093126520471,0.869324520431177,113.13093126520471,1.4286731799433534
569.6859239617261,1.2037463534087685,113.13093126520471,1.413887153497853
1076.9692491800815,1.2106633013861146,113.13093126520471,1.3991011270523523
2192.9925646604643,1.2004062592805838,96.22148709126122,1.3822988242733745
3309.015880140847,1.1911191682900215,337.7849752904767,1.7657753802690201
4425.03919562123,1.1836039565016057,163.8592637870388,1.7492611169662533
5541.0625111016125,1.177677326066839,1076.9692491800815,1.782865722524209
6657.085826581995,1.1721783906119008,2192.9925646604643,1.7803606519280706
7773.109142062378,1.1675348451166196,3309.015880140847,1.7749839150387976
8889.132457542764,1.1637466895809954,4425.03919562123,1.7706458659576798
10005.155773023147,1.1599585340453715,5541.0625111016125,1.7667355118563903
11121.17908850353,1.1563536763582452,6657.085826581995,1.7635583491490927
12237.202403983913,1.15323761293378,7773.109142062378,1.7606255835731255
